,municipal_code,names of the village,valid votes,voter list,issued nevelopes,"('Občanská demokratická strana', 'Řád národa - Vlastenecká unie', 'CESTA ODPOVĚDNÉ SPOLEČNOSTI', 'Česká str.sociálně demokrat.', 'Radostné Česko', 'STAROSTOVÉ A NEZÁVISLÍ', 'Komunistická str.Čech a Moravy', 'Strana zelených', 'ROZUMNÍ-stop migraci,diktát.EU', 'Strana svobodných občanů', 'Blok proti islam.-Obran.domova', 'Občanská demokratická aliance', 'Česká pirátská strana', 'Referendum o Evropské unii', 'TOP 09', 'ANO 2011', 'Dobrá volba 2016', 'SPR-Republ.str.Čsl. M.Sládka', 'Křesť.demokr.unie-Čs.str.lid.', 'Česká strana národně sociální', 'REALISTÉ', 'SPORTOVCI', 'Dělnic.str.sociální spravedl.', 'Svob.a př.dem.-T.Okamura (SPD)', 'Strana Práv Občanů')"
0,535826,Adamov,472,682,473,
1,536156,Bečice,63,82,63,
2,544272,Borek,914,1 215,923,
3,544281,Borovany,2 081,3 299,2 089,
4,535681,Borovnice,78,107,78,
5,544299,Boršov nad Vltavou,986,1 431,992,
6,535401,Bošilec,122,173,122,
7,551490,Branišov,131,181,133,
8,536059,Břehov,86,119,89,
9,535541,Čakov,157,220,158,
10,544329,Čejkovice,164,282,166,
11,598976,Čenkov u Bechyně,40,48,40,
12,544256,České Budějovice,45 670,74 414,45 926,
13,551503,Čížkrajice,117,201,117,
14,535249,Dasný,183,253,183,
15,544361,Dívčice,283,454,287,
16,535206,Dobrá Voda u Českých Budějovic,1 440,2 119,1 444,
17,536199,Dobšice,44,92,44,
18,544388,Dolní Bukovsko,794,1 332,799,
19,535664,Doubravice,175,243,175,
20,544400,Doudleby,244,382,245,
21,535958,Drahotěšice,164,255,164,
22,549371,Dražíč,122,208,122,
23,544426,Dříteň,777,1 284,783,
24,535788,Dubičné,234,324,234,
25,544442,Dubné,842,1 184,848,
26,544451,Dynín,136,259,136,
27,535575,Habří,70,83,70,
28,536075,Hartmanice,80,138,80,
29,598593,Heřmaň,104,154,105,
30,535851,Hlavatce,76,126,76,
31,598607,Hlincová Hora,224,314,225,
32,544485,Hluboká nad Vltavou,2 812,4 174,2 819,
33,544493,Homole,837,1 191,840,
34,536105,Horní Kněžeklady,60,96,60,
35,544515,Horní Stropnice,694,1 221,695,
36,544523,Hosín,490,673,492,
37,535524,Hosty,72,131,72,
38,535460,Hradce,55,72,55,
39,544540,Hranice,82,176,84,
40,544558,Hrdějovice,922,1 274,922,
41,535753,Hůry,296,438,297,
42,535613,Hvozdec,85,100,85,
43,535907,Chotýčany,131,186,131,
44,544591,Chrášťany,350,595,351,
45,544612,Jankov,201,317,202,
46,544639,Jílovice,498,781,504,
47,535761,Jivno,180,267,180,
48,535982,Kamenná,150,246,150,
49,544663,Kamenný Újezd,1 261,1 837,1 273,
50,535877,Komařice,163,264,164,
51,529729,Kvítkovice,58,91,58,
52,544736,Ledenice,1 243,1 947,1 250,
53,544744,Libín,221,308,222,
54,535800,Libníč,268,410,269,
55,544761,Lipí,340,508,340,
56,544779,Lišov,2 185,3 437,2 197,
57,544795,Litvínovice,1 399,1 906,1 404,
58,544809,Ločenice,345,562,346,
59,535940,Mazelov,106,169,106,
60,544817,Mladošovice,216,328,217,
61,598615,Modrá Hůrka,39,70,40,
62,535842,Mokrý Lom,67,83,68,
63,535281,Mydlovary,156,249,157,
64,535371,Nákří,112,174,112,
65,544825,Nedabyle,219,290,219,
66,535435,Neplachov,194,292,194,
67,535648,Nová Ves,435,566,436,
68,544868,Nové Hrady,1 214,2 045,1 222,
69,544884,Olešnice,392,639,396,
70,544892,Olešník,395,642,395,
71,535231,Ostrolovský Újezd,103,134,104,
72,535699,Petříkov,175,254,175,
73,535991,Pištín,354,525,359,
74,535176,Planá,133,194,134,
75,535346,Plav,263,330,265,
76,544965,Radošovice,88,145,88,
77,544973,Roudné,667,922,671,
78,544981,Rudolfov,1 395,2 049,1 399,
79,545007,Římov,469,694,471,
80,545015,Sedlec,278,399,281,
81,545023,Slavče,301,537,303,
82,545066,Srubec,1 345,1 877,1 346,
83,545074,Staré Hodějovice,667,955,670,
84,545082,Strážkovice,270,395,271,
85,536032,Strýčice,38,52,38,
86,545091,Střížov,116,180,117,
87,545104,Svatý Jan nad Malší,286,439,287,
88,545121,Ševětín,714,1 099,718,
89,545139,Štěpánovice,435,685,436,
90,545155,Temelín,422,703,423,
91,545171,Trhové Sviny,2 474,4 082,2 495,
92,545201,Týn nad Vltavou,3 861,6 491,3 889,
93,535494,Úsilné,256,374,258,
94,545228,Včelná,1 077,1 593,1 082,
95,535737,Vidov,329,442,333,
96,535893,Vitín,225,339,229,
97,535915,Vlkov,24,33,24,
98,545261,Vrábče,383,593,390,
99,535796,Vráto,218,312,219,
100,545287,Všemyslice,582,879,583,
101,545317,Záboří,160,289,160,
102,536016,Zahájí,252,371,253,
103,599778,Závraty,25,33,25,
104,545341,Zliv,1 831,2 941,1 844,
105,535591,Zvíkov,168,215,168,
106,545368,Žabovřesky,206,336,207,
107,545376,Žár,139,284,139,
108,545384,Žimutice,323,518,326,
